Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates,Provenance
Q719395,category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Category/Basic.html#CategoryTheory.Category,category,layer2.csv,1.000,exact_letters,,layer_match
Q10567583,small category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Category/Basic.html#CategoryTheory.SmallCategory,small category,layer2.csv,1.000,exact_letters,Q121771058 (0.867; token_jaccard=0.67) locally small category [layer3.csv],layer_match
Q864475,functor,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Functor/Basic.html#CategoryTheory.Functor,functor,layer2.csv,1.000,exact_letters,,layer_match
Q1442189,natural transformation,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/NatTrans.html#CategoryTheory.NatTrans,natural transformation,layer2.csv,1.000,exact_letters,Q25304046 (0.867; token_jaccard=0.67) lax natural transformation [layer1.csv],layer_match
Q1579914,monad,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Monad/Basic.html#CategoryTheory.Monad,monad,layer3.csv,1.000,exact_letters,Q1630568 (1.000; exact_letters) monad [layer2.csv],layer_match
Q1945014,monoidal category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Monoidal/Category.html#CategoryTheory.MonoidalCategory,monoidal category,layer2.csv,1.000,exact_letters,Q2943034 (0.867; token_jaccard=0.67) braided monoidal category [layer2.csv]; Q18205845 (0.867; token_jaccard=0.67) cartesian monoidal category [layer4.csv]; Q5135347 (0.867; token_jaccard=0.67) closed monoidal category [layer5.csv]; Q20809078 (0.867; token_jaccard=0.67) monoidal category action [layer3.csv],layer_match
Q1725874,cartesian closed,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Closed/Cartesian.html#CategoryTheory.CartesianClosed,cartesian closed category,layer4.csv,0.867,token_jaccard=0.67,,layer_match
Q318737,abelian category,https://leanprover-community.github.io/mathlib4_docs/Mathlib/CategoryTheory/Abelian/Basic.html#CategoryTheory.Abelian,abelian category,layer1.csv,1.000,exact_letters,Q7239192 (0.867; token_jaccard=0.67) pre-abelian category [layer5.csv]; Q7254426 (0.867; token_jaccard=0.67) pseudo-abelian category [layer4.csv]; Q30715304 (0.867; token_jaccard=0.67) semi-abelian category [layer5.csv],layer_match
Q12503,integer,https://leanprover-community.github.io/mathlib4_docs/Init/Data/Int/Basic.html#Int,integer,layer2.csv,1.000,exact_letters,,layer_match
Q1244890,rational number,https://leanprover-community.github.io/mathlib4_docs/Batteries/Data/Rat/Basic.html#Rat,rational number,layer2.csv,1.000,exact_letters,Q114501433 (0.867; token_jaccard=0.67) rational number theory [layer2.csv],layer_match
Q206816,continued fraction,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/ContinuedFractions/Basic.html#ContFract,continued fraction,layer2.csv,1.000,exact_letters,,layer_match
Q12916,real number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Real/Basic.html#Real,real number,layer2.csv,1.000,exact_letters,Q3893614 (0.867; token_jaccard=0.67) definable real number [layer4.csv]; Q200227 (0.867; token_jaccard=0.67) negative real number [layer5.csv]; Q19546578 (0.867; token_jaccard=0.67) nonzero real number [layer4.csv]; Q3176558 (0.867; token_jaccard=0.67) positive real number [layer2.csv],layer_match
Q11567,complex number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Data/Complex/Basic.html#Complex,complex number,layer2.csv,1.000,exact_letters,Q135457975 (0.867; token_jaccard=0.67) computable complex number [layer5.csv]; Q135457986 (0.867; token_jaccard=0.67) definable complex number [layer5.csv]; Q85757774 (0.867; token_jaccard=0.67) Dual-complex number [layer4.csv]; Q864145 (0.867; token_jaccard=0.67) split-complex number [layer3.csv],layer_match
Q311627,$p$-adic number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/Padics/PadicNumbers.html#Padic,p-adic number,layer2.csv,1.000,exact_letters,,layer_match
Q11756524,$p$-adic integer,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/Padics/PadicIntegers.html#PadicInt,p-adic integer,layer3.csv,1.000,exact_letters,,layer_match
Q5958543,hyper-real number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Real/Hyperreal.html#Hyperreal,hyperreal number,layer2.csv,1.000,exact_letters,Q12916 (0.867; token_jaccard=0.67) real number [layer5.csv],layer_match
Q83478,group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,group,layer2.csv,1.000,exact_letters,,layer_match
Q288465,group action,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Action/Defs.html#MulAction,group action,layer2.csv,1.000,exact_letters,Q16951242 (0.867; token_jaccard=0.67) continuous group action [layer5.csv]; Q121074575 (0.867; token_jaccard=0.67) faithful group action [layer5.csv]; Q121069543 (0.867; token_jaccard=0.67) free group action [layer5.csv]; Q48975267 (0.867; token_jaccard=0.67) group-scheme action [layer5.csv],layer_match
Q3291120,class formula,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/GroupAction/Quotient.html#MulAction.selfEquivSigmaOrbitsQuotientStabilizer,class number formula,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q1330377,Burnside lemma,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/GroupAction/Quotient.html#MulAction.sum_card_fixedBy_eq_card_orbits_mul_card_group,Burnside's lemma,layer3.csv,0.867,token_jaccard=0.67,,layer_match
Q466109,subgroup,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Subgroup/Defs.html#Subgroup,subgroup,layer3.csv,1.000,exact_letters,,layer_match
Q1138961,quotient group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/QuotientGroup/Defs.html#QuotientGroup.Quotient.group,quotient group,layer3.csv,1.000,exact_letters,,layer_match
Q1065966,first isomorphism theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/QuotientGroup/Basic.html#QuotientGroup.quotientKerEquivRange,isomorphism theorem,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q1065966,second isomorphism theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/QuotientGroup/Basic.html#QuotientGroup.quotientInfEquivProdNormalQuotient,isomorphism theorem,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q1065966,third isomorphism theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/QuotientGroup/Basic.html#QuotientGroup.quotientQuotientEquivQuotient,isomorphism theorem,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q318598,abelianization,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Abelianization/Defs.html#Abelianization,abelianization,layer2.csv,1.000,exact_letters,,layer_match
Q431078,free group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/FreeGroup/Basic.html#FreeGroup,free group,layer2.csv,1.000,exact_letters,Q1454111 (0.867; token_jaccard=0.67) free abelian group [layer3.csv]; Q121069543 (0.867; token_jaccard=0.67) free group action [layer5.csv]; Q122364643 (0.867; token_jaccard=0.67) torsion-free group [layer4.csv],layer_match
Q124579556,presented group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/PresentedGroup.html#PresentedGroup,finitely presented group,layer1.csv,0.867,token_jaccard=0.67,,layer_match
Q3229345,Schreier's lemma,https://leanprover-community.github.io/mathlib4_docs/Mathlib/GroupTheory/Schreier.html#Subgroup.closure_mul_image_eq,Schreier's lemma,layer2.csv,1.000,exact_letters,,layer_match
