Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates
Q318598,abelianization,https://arxiv.org/pdf/1612.09375#page=53,abelianization,layer2.csv,1.000,exact_letters,
Q357858,adjoint functor theorems,https://arxiv.org/pdf/1612.09375#page=167,adjoint functor,layer5.csv,0.867,token_jaccard=0.67,
Q3968,algebra,https://arxiv.org/pdf/1612.09375#page=100,algebra,layer2.csv,1.000,exact_letters,Q2836000 (1.000; exact_letters) *-algebra [layer3.csv]
Q744960,associative algebra,https://arxiv.org/pdf/1612.09375#page=50,associative algebra,layer2.csv,1.000,exact_letters,Q97165845 (0.867; token_jaccard=0.67) homotopy associative algebra [layer3.csv]; Q4391941 (0.867; token_jaccard=0.67) non-associative algebra [layer5.csv]
Q613048,algebraic theory,https://arxiv.org/pdf/1612.09375#page=54,algebraic number theory,layer2.csv,0.867,token_jaccard=0.67,
Q4724021,algebraic topology,https://arxiv.org/pdf/1612.09375#page=28,algebraic topology,layer5.csv,1.000,exact_letters,
Q1315869,arity,https://arxiv.org/pdf/1612.09375#page=54,arity,layer2.csv,1.000,exact_letters,
Q671836,arrow,https://arxiv.org/pdf/1612.09375#page=18,Arrow,layer5.csv,1.000,exact_letters,
Q177251,associativity,https://arxiv.org/pdf/1612.09375#page=18,associativity,layer2.csv,1.000,exact_letters,
Q179692,axiom of choice,https://arxiv.org/pdf/1612.09375#page=79,axiom of choice,layer3.csv,1.000,exact_letters,Q1000116 (0.900; token_jaccard=0.75) axiom of countable choice [layer3.csv]; Q3303153 (0.900; token_jaccard=0.75) axiom of dependent choice [layer3.csv]; Q3511558 (0.900; token_jaccard=0.75) axiom of global choice [layer2.csv]; Q4478785 (0.840; token_jaccard=0.60) equivalent of the axiom of choice [layer2.csv]
Q173183,Boolean algebra,https://arxiv.org/pdf/1612.09375#page=44,boolean algebra,layer3.csv,1.000,exact_letters,Q4973304 (1.000; exact_letters) Boolean algebra [layer2.csv]; Q5156447 (0.867; token_jaccard=0.67) complete Boolean algebra [layer3.csv]; Q5499761 (0.867; token_jaccard=0.67) free Boolean algebra [layer4.csv]; Q7315522 (0.867; token_jaccard=0.67) residuated Boolean algebra [layer3.csv]
Q263809,C^*-algebra,https://arxiv.org/pdf/1612.09375#page=44,C*-algebra,layer1.csv,1.000,exact_letters,Q85208389 (1.000; token_jaccard=1.00) C∞-algebra [layer3.csv]; Q2602075 (0.867; token_jaccard=0.67) nuclear C*-algebra [layer5.csv]; Q7893894 (0.867; token_jaccard=0.67) universal C*-algebra [layer4.csv]
Q28727773,cardinality,https://arxiv.org/pdf/1612.09375#page=82,cardinality,layer5.csv,1.000,exact_letters,Q4049983 (1.000; exact_letters) cardinality [layer3.csv]
Q1725874,cartesian closed category,https://arxiv.org/pdf/1612.09375#page=172,cartesian closed category,layer4.csv,1.000,exact_letters,Q5135329 (0.867; token_jaccard=0.67) closed category [layer3.csv]
Q719395,category,https://arxiv.org/pdf/1612.09375#page=18,category,layer2.csv,1.000,exact_letters,
Q5051852,category of categories,https://arxiv.org/pdf/1612.09375#page=26,category of small categories,layer5.csv,0.900,token_jaccard=0.75,
Q4370335,complete category,https://arxiv.org/pdf/1612.09375#page=167,complete category,layer3.csv,1.000,exact_letters,Q121504772 (0.867; token_jaccard=0.67) finitely complete category [layer5.csv]
Q1228851,discrete category,https://arxiv.org/pdf/1612.09375#page=21,discrete category,layer3.csv,1.000,exact_letters,
Q5051844,of elements category,https://arxiv.org/pdf/1612.09375#page=162,category of elements,layer5.csv,1.000,token_jaccard=1.00,
Q10567583,essentially small category,https://arxiv.org/pdf/1612.09375#page=84,small category,layer2.csv,0.867,token_jaccard=0.67,
Q121771058,locally small category,https://arxiv.org/pdf/1612.09375#page=83,locally small category,layer3.csv,1.000,exact_letters,Q10567583 (0.867; token_jaccard=0.67) small category [layer2.csv]
Q5135347,monoidal closed category,https://arxiv.org/pdf/1612.09375#page=173,closed monoidal category,layer5.csv,1.000,token_jaccard=1.00,Q5135329 (0.867; token_jaccard=0.67) closed category [layer5.csv]; Q1945014 (0.867; token_jaccard=0.67) monoidal category [layer3.csv]
Q7098616,opposite category,https://arxiv.org/pdf/1612.09375#page=24,opposite category,layer3.csv,1.000,exact_letters,
Q10567583,small category,https://arxiv.org/pdf/1612.09375#page=83,small category,layer2.csv,1.000,exact_letters,Q121771058 (0.867; token_jaccard=0.67) locally small category [layer3.csv]
Q122953307,well-powered category,https://arxiv.org/pdf/1612.09375#page=176,well-powered category,layer3.csv,1.000,exact_letters,Q122953309 (0.900; token_jaccard=0.75) co-well-powered category [layer4.csv]
Q23925390,centre,https://arxiv.org/pdf/1612.09375#page=34,centre,layer5.csv,1.000,exact_letters,
