Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates
Q306393,ABC conjecture,http://planetmath.org/abcconjecture,abc conjecture,layer3.csv,1.000,exact_letters,
Q318705,abelian extension,http://planetmath.org/abelianextension,abelian extension,layer1.csv,1.000,exact_letters,
Q181296,abelian group,http://planetmath.org/abeliangroup,abelian group,layer1.csv,1.000,exact_letters,Q85739412 (0.867; token_jaccard=0.67) Abelian Lie group [layer5.csv]; Q7825020 (0.867; token_jaccard=0.67) abelian topological group [layer5.csv]; Q1017231 (0.867; token_jaccard=0.67) elementary abelian group [layer4.csv]; Q3117606 (0.867; token_jaccard=0.67) finite abelian group [layer5.csv]
Q318598,abelianization,http://planetmath.org/abelianization,abelianization,layer2.csv,1.000,exact_letters,
Q318751,abelian variety,http://planetmath.org/abelianvariety,abelian variety,layer1.csv,1.000,exact_letters,Q5310181 (0.867; token_jaccard=0.67) dual abelian variety [layer4.csv]; Q7449666 (0.867; token_jaccard=0.67) semistable abelian variety [layer2.csv]; Q131513470 (0.867; token_jaccard=0.67) simple abelian variety [layer3.csv]
Q4668179,abnormal subgroup,http://planetmath.org/abnormalsubgroup,abnormal subgroup,layer4.csv,1.000,exact_letters,
Q7885093,absolute convergence implies uniform convergence,http://planetmath.org/absoluteconvergenceimpliesuniformconvergence,uniform absolute-convergence,layer2.csv,0.900,token_jaccard=0.75,
Q332465,absolute convergence theorem,http://planetmath.org/absoluteconvergencetheorem,absolute convergence,layer3.csv,0.867,token_jaccard=0.67,
Q332407,absolute Galois group,http://planetmath.org/absolutegaloisgroup,absolute Galois group,layer4.csv,1.000,exact_letters,Q730384 (0.867; token_jaccard=0.67) Galois group [layer3.csv]
Q20827138,absolutely continuous,http://planetmath.org/absolutelycontinuous,Absolutely continuous measure,layer5.csv,0.867,token_jaccard=0.67,
Q120812,absolute value,http://planetmath.org/absolutevalue,absolute value,layer2.csv,1.000,exact_letters,Q4669840 (1.000; exact_letters) absolute value [layer3.csv]; Q2115697 (0.867; token_jaccard=0.67) pseudo-absolute value [layer4.csv]
Q187420,absorbing element,http://planetmath.org/absorbingelement,absorbing element,layer3.csv,1.000,exact_letters,
Q332775,absorbing set,http://planetmath.org/absorbingset,absorbing set,layer2.csv,1.000,exact_letters,
Q122889655,abundance,http://planetmath.org/abundance,abundance,layer1.csv,1.000,exact_letters,Q17547084 (1.000; exact_letters) abundance [layer3.csv]; Q336019 (1.000; exact_letters) abundance [layer5.csv]
